cmdType,cmdSignature,text
text,0001 Tutorial:1:3,"As battle begins, you will be given
your first choice: You must decide
between ""Attack,"" ""Defend,""
""Competence,"" and ""Objects."""
text,0001 Tutorial:1:4,"Naturally, ""Attack"" allows you 
to engage your opponent 
after the classical manner. "
text,0001 Tutorial:1:5,"""Competence"" permits you the use of 
one of your special talents. ""Objects"" lets 
you access the inventory you are carrying."
text,0001 Tutorial:1:6,"Now it is time to put theory into practice.
Choose ""Attack,"" select the Batter, and
then choose ""Attack"" once more
to slay me with your bat."
text,0001 Tutorial:2:1,"Excellent, my dear sportive companion. 
Remember that the impact of your assault 
is determined by the level of 
both the Batter and his opponent."
text,0001 Tutorial:2:2,"Your iron volition may result in
the occasional critical strike. 
This will cause the teeth to fly in heaps,
I am sure. When you're ready, strike again."
text,0001 Tutorial:3:1,"It is also possible for you or your 
adversaries to slyly avoid some of
the impact of the offensive moves 
you exchange."
text,0001 Tutorial:3:3,"Choose ""Defend"" and protect yourself
from one of my dastardly blows."
text,0001 Tutorial:3:2,"Just as it is your goal to purify these
specters, they wish to eliminate you.
You may guard against such feeble attempts."
text,0001 Tutorial:4:1,"Now once more, if you'd be so kind,
to prove your mastery of defense."
text,0001 Tutorial:5:1,"Even the best sportsmen, I believe,
are subject to the callous vicissitudes
of the playing field. Do not fret—you can
recover from these grievous injuries."
text,0001 Tutorial:5:2,"Now, let us attempt to utilize an item. 
Take this Luck Ticket and graciously 
apply it to the Batter's person. "
text,0001 Tutorial:5:3,A Luck Ticket has been found.
text,0001 Tutorial:6:1,"Impeccable. Your mastery of battle
borders on brilliancy, my friend.
But there is one thing we have
not yet addressed."
text,0001 Tutorial:6:2,"I am speaking, of course, of 
your competences. They are, 
speaking generally, special moves
that trigger surprising effects."
text,0001 Tutorial:6:3,"These may be, for example, unusually
powerful attacks, or skills that induce
a resurgence of health points."
text,0001 Tutorial:6:4,"In any case, you must remember
that using a competence will incur
some degree of competence cost."
text,0001 Tutorial:6:5,"So I suggest you wield these skills
with parsimony. With competence costs
exhausted, you will find heavy assaults 
impossible to carry out."
text,0001 Tutorial:6:6,"And if by some mischance you cross
swords with a more-than-worthy opponent
before recovering them, victory will be 
uncertain at best."
text,0001 Tutorial:6:7,"Now then, let us try one. Choose 
""Competence"" and then 
""Run With Courage,"" a skill calibrated 
to brutalize your enemies. "
text,0001 Tutorial:6:8,BATTER learned Run with Courage.
text,0001 Tutorial:7:1,"You poor fool, you've drained my 
health points! Now I will die in this 
empty land, where your sacred mission 
ends."
text,0001 Tutorial:7:2,"Eh heh heh. Now you have mastered
not only this competence, but the  
very art of combat."
text,0001 Tutorial:7:3,"You must remember that there is a
cost to showing your steely resolve
in this way. Your sacred mission will 
depend on your mastery of these abilities."
text,0001 Tutorial:7:4,"The confrontation ends, theoretically,
when the health points of you and your 
team, or those of your opponents, have 
fallen to zero."
text,0001 Tutorial:7:5,"So take care of your health 
if you are hoping to pursue 
a career in purification."
text,0002 The Judge (final):1:1,
text,0003 Hugo:1:1,
text,0004 Vader Eloha:1:1,
text,0004 Vader Eloha:1:5,
text,0005 The Batter:1:1,
text,0005 The Batter:1:5,
text,0007 boss 1 Dedan:1:2,"You will taste the pain, you sick 
spirit."
text,0007 boss 1 Dedan:1:4,"I'll carve that insufferable grin 
clean out of your face."
text,0007 boss 1 Dedan:2:2,
text,0043 Valerie:1:2,"But then I have no need of specters
to eliminate a ridiculous puppet
in baseball pants. "
text,0043 Valerie:1:5,"I will finally get a taste of
what's due to me."
text,0043 Valerie:2:2,"When your soul is valiant, your
arms are made in its image."
text,0043 Valerie:2:4,"I must admit that I may have
underestimated you."
text,0043 Valerie:2:6,"Unfortunately for you, I would 
repudiate every gentlemanly manner
to become the new Nemesis."
text,0043 Valerie:2:9,"Specters, come to me. Let us 
dance together and make the song
of the righteous resound!"
text,0043 Valerie:2:12,"May the torment of men heal
the wounds I have been dealt. May
your intangible bodies devour 
their souls for all eternity..."
text,0043 Valerie:2:17,"...\! Phantoms?\!
Phantoms, come to me, I command you!"
text,0043 Valerie:2:20,"Curses! By what spell, baleful human,
have you managed to keep my
ectoplasmic acolytes from 
joining me?"
text,0043 Valerie:2:23,No matter! You shall taste my wrath.
text,0043 Valerie:3:2,
text,0008 boss 2 Japhet:1:2,"You must understand, these fools
only worry about their own
pathetic troubles. "
text,0008 boss 2 Japhet:1:5,"I did everything for them!
They are like my sons,
my innumerable sons..."
text,0008 boss 2 Japhet:1:7,"Sometimes, it is necessary to punish
disrespectful children..."
text,0008 boss 2 Japhet:2:2,
text,0008 boss 2 Japhet:3:3,I am not a God. I cannot be perfect...
text,0008 boss 2 Japhet:3:5,"Yes, I have sinned. I recognize that.
But this task is not fit for a mortal. "
text,0008 boss 2 Japhet:4:3,"Very well, purifier. If it is my destiny,
then I am ready to die."
text,0008 boss 2 Japhet:4:5,"But first, prepare yourself to
look upon my true form."
text,0008 boss 2 Japhet:4:15,"\S[3]I am Japhet, lord of the second zone."
text,0008 boss 2 Japhet:4:17,\S[3]I am the millennial firebird.
text,0008 boss 2 Japhet:4:19,"\S[3]Now, let us fight."
text,0067 Enoch:2:2,"Hellfire... he's monstrous. "
text,0067 Enoch:2:5,"Mwahahaha, I am exceptional!"
text,0067 Enoch:2:7,"I think that, exceptionally, escape
is our only option..."
text,0067 Enoch:3:2,"He's far too strong! 
For once we will choose 
the coward's option, flee quickly!"
text,0009 boss 3 Enoch:1:2,"pant... pant...
Contemplate the absurdity of this 
situation!"
text,0009 boss 3 Enoch:1:5,Ah Ah Ah Ah Ah Ah !
text,0009 boss 3 Enoch:1:6,"You're just a pest, and you'll
be crushed in no time at all!"
text,0009 boss 3 Enoch:1:8,"Game Over is near, Batter."
text,0009 boss 3 Enoch:2:1,
item name,1:Luck ticket:item,Luck Ticket
item description,1:Luck ticket:item,Recovers a moderate amount of HP
text,0011 secrétaire 1 1:1:1,
text,0011 secrétaire 1 1:1:5,
text,0012 secrétaire 1 2:1:1,
text,0012 secrétaire 1 2:1:5,
text,0013 secrétaire 1 3:1:1,
text,0013 secrétaire 1 3:1:5,
text,0014 secrétaire 2 1:1:1,
text,0014 secrétaire 2 1:1:5,
text,0015 secrétaire 2 2:1:1,
text,0015 secrétaire 2 2:1:5,
text,0016 secrétaire 2 3:1:1,
text,0016 secrétaire 2 3:1:5,
text,0017 secrétaire 3 1:1:1,
text,0017 secrétaire 3 1:1:5,
text,0018 secrétaire 3 2:1:1,
text,0018 secrétaire 3 2:1:5,
text,0019 secrétaire 3 3:1:1,
text,0019 secrétaire 3 3:1:5,
text,002 world map:EV0001:2:0,Enter \C[2]Zone 0\C[0] ?
text,002 world map:EV0001:2:1,"Yes,No"
text,002 world map:EV0021:2:1,Enter \C[2]Zone 1\C[0] ?
text,002 world map:EV0021:2:2,"Yes,No"
text,002 world map:EV0021:2:16,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0021:3:1,Enter \C[2]Zone 1\C[0] ?
text,002 world map:EV0021:3:2,"Yes,No"
text,002 world map:EV0021:3:17,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0022:2:1,Enter \C[2]Zone 2\C[0] ?
text,002 world map:EV0022:2:2,"Yes,No"
text,002 world map:EV0022:2:16,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0022:3:1,Enter \C[2]Zone 2\C[0] ?
text,002 world map:EV0022:3:2,"Yes,No"
text,002 world map:EV0022:3:17,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0023:2:1,Enter \C[2]Zone 3\C[0] ?
text,002 world map:EV0023:2:2,"Yes,No"
text,002 world map:EV0023:2:16,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0023:3:1,Enter \C[2]Zone 3\C[0] ?
text,002 world map:EV0023:3:2,"Yes,No"
text,002 world map:EV0023:3:17,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0024:2:1,Enter \C[2]The Room\C[0] ?
text,002 world map:EV0024:2:2,"Yes,No"
text,002 world map:EV0024:2:16,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0025:2:0,Enter \C[2]Zone 0\C[0] ?
text,002 world map:EV0025:2:1,"Yes,No"
text,002 world map:EV0028:2:1,Enter \C[2]Zone 1\C[0] ?
text,002 world map:EV0028:2:2,"Yes,No"
text,002 world map:EV0028:2:16,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0028:3:1,Enter \C[2]Zone 1\C[0] ?
text,002 world map:EV0028:3:2,"Yes,No"
text,002 world map:EV0028:3:17,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0031:2:1,Enter \C[2]Zone 3\C[0] ?
text,002 world map:EV0031:2:2,"Yes,No"
text,002 world map:EV0031:2:16,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0031:3:1,Enter \C[2]Zone 3\C[0] ?
text,002 world map:EV0031:3:2,"Yes,No"
text,002 world map:EV0031:3:17,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0032:2:1,Enter \C[2]Zone 2\C[0] ?
text,002 world map:EV0032:2:2,"Yes,No"
text,002 world map:EV0032:2:16,"It's impossible to enter. You need 
the adequate Zodiac Card."
text,002 world map:EV0032:3:1,Enter \C[2]Zone 2\C[0] ?
text,002 world map:EV0032:3:2,"Yes,No"
text,002 world map:EV0032:3:17,"It's impossible to enter. You need 
the adequate Zodiac Card."
item name,2:Fortune ticket:item,Fortune Ticket
item description,2:Fortune ticket:item,Recovers a large amount of HP
text,0021 Magnoliax2:1:1,
text,0022 Magnoliax3:1:1,
text,"0023 Common Spectre 1x4,-:1:1",
text,0024 January:1:1,
text,0025 Januaryx2:1:1,
text,"0026 Fat Spectre,ahahx3:1:1",
text,"0027 Fat Spectrex2,ahahx2:1:1",
text,0028 One-eyed Spectrex3:1:1,
text,0029 Burntx2:1:1,
text,003 zone 0 (centre):EV0006:1:1,"It's impossible to get around 
this obstacle."
text,003 zone 0 (centre):EV0008:2:4,"There can be no living beings in Zone 0. 
I deduce, therefore, that you are 
a figment of my imagination."
text,003 zone 0 (centre):EV0008:2:5,"Nevertheless, I will introduce myself. 
I am the Judge, and I am
aching to know your name, 
my dear illusory interlocutor."
text,003 zone 0 (centre):EV0008:2:7,"I'm the Batter.
I've been entrusted with a 
sacred mission."
text,003 zone 0 (centre):EV0008:2:10,"Delighted, I'm sure. 
But I am not addressing the body—
only the soul that it harbors. 
What is your name, controller?"
text,003 zone 0 (centre):EV0008:2:13,"Her name is \N[5].
She can't talk to us."
text,003 zone 0 (centre):EV0008:2:14,"However, she can see and hear
everything."
text,003 zone 0 (centre):EV0008:2:17,"Their name is \N[5].
They can't talk to us."
text,003 zone 0 (centre):EV0008:2:18,"However, they can see and hear
everything."
text,003 zone 0 (centre):EV0008:2:20,"His name is \N[5].
He can't talk to us."
text,003 zone 0 (centre):EV0008:2:21,"However, he can see and hear
everything."
text,003 zone 0 (centre):EV0008:2:27,"Although to me you are nothing more than
an imaginary specter, I must say that I am
delighted to make your acquaintance as well,
my dear \N[5]."
text,003 zone 0 (centre):EV0008:2:29,"Although to me you are nothing more than
an imaginary specter, I must say that I am
delighted to make your acquaintance as well,
my dear \N[5]."
text,003 zone 0 (centre):EV0008:2:32,I believe we need your help.
text,003 zone 0 (centre):EV0008:2:35,"Many people require my 
services, you know. 
Everybody loves cats."
text,003 zone 0 (centre):EV0008:2:36,"We rub ourselves against their 
legs and purr in a most insistent 
manner. They adore that."
text,003 zone 0 (centre):EV0008:2:38,"I'm not talking about that kind
of help."
text,003 zone 0 (centre):EV0008:2:41,"I see—
but what sort of service could I offer 
to an ectoplasmic entity?"
text,003 zone 0 (centre):EV0008:2:43,I have a sacred mission to fulfill.
text,003 zone 0 (centre):EV0008:2:44,I must purify the world.
text,003 zone 0 (centre):EV0008:2:47,"There is no objective more laudable! 
Therefore I agree to serve as your guide
through this place, if I may be 
of any assistance."
text,003 zone 0 (centre):EV0008:2:49,Thanks.
text,003 zone 0 (centre):EV0009:1:3,"Allow me to confess that I find you 
quite tangible for a 
phantasmagorical being."
text,003 zone 0 (centre):EV0009:1:4,"Might you in fact be a person
of flesh and blood?"
text,003 zone 0 (centre):EV0009:1:6,I think so.
text,003 zone 0 (centre):EV0009:1:9,"So I was mistaken from the first, 
and you did not even interrupt 
my fanciful soliloquizing..."
text,003 zone 0 (centre):EV0009:1:10,"I must say, this is really quite strange. 
You are the first living being 
I have ever met in this place."
text,003 zone 0 (centre):EV0009:1:11,"I had concluded, therefore, that Zone 0 
was empty. It's all too obvious
that I was mistaken. "
text,003 zone 0 (centre):EV0009:1:12,"Now, then. There are other zones. 
In those territories you may find yourself
subject to the violent attentions
of certain hostile individuals."
text,003 zone 0 (centre):EV0009:1:13,"Your sacred mission may well lead you 
to those places. Would you like me to 
acquaint you with the art 
of violent confrontation?"
text,003 zone 0 (centre):EV0009:1:16,Combat tutorial?
text,003 zone 0 (centre):EV0009:1:17,"Yes,No"
text,003 zone 0 (centre):EV0009:1:22,"Now you are ready to dispose
of all the impure obstacles standing 
between you and the success 
of your luminous mission. "
text,003 zone 0 (centre):EV0009:1:23,"Provided that your intelligence
is as advanced as your undeniable 
capacity for raining bat blows
upon an innocent cat."
text,003 zone 0 (centre):EV0009:1:24,"At all events, your training 
has not yet reached its end. 
Please do follow me, if you would 
like my guidance a while longer."
text,003 zone 0 (centre):EV0009:1:26,No tutorial. Are you certain?
text,003 zone 0 (centre):EV0009:1:27,"Yes,No"
text,003 zone 0 (centre):EV0009:1:31,"So it is your claim that you 
can handle the bat like a virtuoso 
without the aid of my wise counsel?"
text,003 zone 0 (centre):EV0009:1:32,"I hope, for your sake, that this 
is not just an idle boast meant to 
impress me. Because you
would be taking a grave risk. "
text,003 zone 0 (centre):EV0009:1:33,"But I will assume that it was not,
and that you truly are the fighter 
you claim to be."
text,003 zone 0 (centre):EV0009:1:34,"At all events, your training 
has not yet reached its end. 
Please do follow me, if you would 
like my guidance a while longer."
text,003 zone 0 (centre):EV0010:1:2,A Luck Ticket has been found.
text,003 zone 0 (centre):EV0011:1:2,"A piece of Silver Flesh has 
been found."
text,003 zone 0 (centre):EV0012:1:1,I can't see the inside very well.
item description,3:Silver flesh:item,Recovers a moderate amount of CC
item name,3:Silver flesh:item,Silver Flesh
text,0030 Burnt:1:1,
text,"0031 Burnt,Tiburcex2:1:1",
text,"0031 Burnt,Tiburcex2:1:5",
text,"0032 Burntx2,Tiburce:1:1",
text,"0032 Burntx2,Tiburce:1:5",
text,0033 Tiburcex3:1:1,
text,0034 Tiburcex2:1:1,
text,"0035 Burnt,Arpagonx2:1:1",
text,"0035 Burnt,Arpagonx2:1:5",
text,"0036 Burnt,Arpagon:1:1",
text,"0036 Burnt,Arpagon:1:5",
text,0037 Arpagonx2:1:1,
text,0038 Arpagonx3:1:1,
text,"0039 Arpagonx2,Tiburce:1:1",
text,"0039 Arpagonx2,Tiburce:1:5",
text,004 pièce 3:EV0005:1:1,"It's impossible to get around 
this obstacle."
text,004 pièce 3:EV0006:1:1,"It's impossible to get around 
this obstacle."
text,004 pièce 3:EV0007:1:1,"It's impossible to get around 
this obstacle."
text,004 pièce 3:EV0010:1:1,Quite peculiar.
text,004 pièce 3:EV0011:1:1,Quite peculiar.
text,004 pièce 3:EV0012:1:1,I think the weather's nice outside.
text,004 pièce 3:EV0013:1:1,I think the weather's nice outside.
text,004 pièce 3:EV0014:1:2,"Ah, yes—passing through here will 
require the careful operation of your
cerebral apparatus. You know, the one
bathing limply in your languid cranium."
text,004 pièce 3:EV0014:1:3,"I believe that these floating blocks 
correspond, in some way or another, 
to the symbols you see 
before you on the wall."
item name,4:Golden flesh:item,Golden Flesh
item description,4:Golden flesh:item,Recovers a large amount of CC
text,"0040 Arpagon,Tiburcex2:1:1",
text,"0040 Arpagon,Tiburcex2:1:5",
text,0041 Troquantaryx2:1:1,
text,0042 Troquantaryx3:1:1,
text,0044 U.d. Spectrex2:1:1,
text,0045 U.d. Spectrex3:1:1,
text,0046 Whale:1:1,
text,0047 Massux2:1:1,
text,0048 Gilles de Raisx2:1:1,
text,"0049 Gilles de Rais,Massu:1:1",
text,"0049 Gilles de Rais,Massu:1:5",
text,005 pièce 0:EV0002:1:1,Quite peculiar.
text,005 pièce 0:EV0003:1:1,Quite peculiar.
text,005 pièce 0:EV0004:1:1,Quite peculiar.
item name,5:Joker:item,Joker
item description,5:Joker:item,Revives one character
text,"0050 Massu,Spectre renve-:1:1",
text,"0050 Massu,Spectre renve-:1:5",
text,"0051 Spectre renverséx3,-:1:1",
text,"0051 Spectre renverséx3,-:1:5",
text,0052 Valzong-burnt (S):1:1,
text,0053 Valzong-burnt:1:1,
text,"0054 Spectre porteur,Spe-:1:1",
text,"0055 Valzong-burnt,Spect-:1:1",
text,"0055 Valzong-burnt,Spect-:1:5",
text,"0056 Mute Spectrex2,Crow-:1:1",
text,"0056 Mute Spectrex2,Crow-:1:5",
text,"0056 Mute Spectrex2,Crow-:1:9",
text,"0057 Blind Spectrex2,Cro-:1:1",
text,"0057 Blind Spectrex2,Cro-:1:5",
text,"0057 Blind Spectrex2,Cro-:1:9",
text,"0058 Spectre aveuglex2,S-:1:1",
text,"0058 Spectre aveuglex2,S-:1:5",
text,0059 Von Gacy:1:1,
text,006 pièce 2:EV0005:1:1,"It's impossible to get around 
this obstacle."
text,006 pièce 2:EV0006:1:1,"It's impossible to get around 
this obstacle."
text,006 pièce 2:EV0007:1:1,"It's impossible to get around 
this obstacle."
text,006 pièce 2:EV0014:1:1,Quite peculiar.
text,006 pièce 2:EV0015:1:1,Quite peculiar.
text,006 pièce 2:EV0016:1:1,Quite peculiar.
text,006 pièce 2:EV0017:1:1,Quite peculiar.
text,006 pièce 2:EV0018:1:1,Quite peculiar.
text,006 pièce 2:EV0019:1:1,Quite peculiar.
text,006 pièce 2:EV0020:1:1,I think the weather's nice outside.
text,006 pièce 2:EV0021:1:1,I think the weather's nice outside.
text,006 pièce 2:EV0022:1:2,"Is there a problem, charming hero? 
I cannot do everything for you.
I am not your father, after all..."
text,006 pièce 2:EV0022:1:3,"But if I might offer a suggestion, 
perhaps you could try to activate 
some of these floating blocks 
more than once, if it proves necessary?"
text,006 pièce 2:EV0022:1:4,"Come now, solve this intriguing obstacle 
for me posthaste. I wish to rejoin 
the ground floor as soon as possible."
item description,6:Moloch's meat:item,Cures poison
item name,6:Moloch's meat:item,Moloch's Meat
text,0060 Von Gacyx2:1:1,
text,"0061 Calvary-burnt,Mute -:1:1",
text,"0061 Calvary-burnt,Mute -:1:5",
text,"0062 Calvary-burnt,Blind-:1:1",
text,"0062 Calvary-burnt,Blind-:1:5",
text,"0063 Calvary-burnt,Crown-:1:1",
text,"0063 Calvary-burnt,Crown-:1:5",
text,"0063 Calvary-burnt,Crown-:1:9",
text,0064 Calvary-burntx3:1:1,
text,0065 Critic-burnt:1:1,
text,"0066 Pastel-burnt,Elsen -:1:1",
text,0068 Bearx8:1:1,
text,"0069 Sugar,Dummiex4:1:1",
text,"0069 Sugar,Dummiex4:1:5",
text,007 pièce 1:chat:1:4,"Ahaha, finally, after all our exertions, 
the eagerly awaited recompense 
arrives upon the scene!"
text,007 pièce 1:EV0004:1:1,I think the weather's nice outside.
text,007 pièce 1:EV0005:1:1,I think the weather's nice outside.
text,007 pièce 1:EV0006:2:2,crunch nom nom crunch
text,007 pièce 1:EV0008:1:2,"He he he, why yes, I'm here as well."
text,007 pièce 1:EV0008:1:3,"On the other hand, it's been a while
since I've seen Pablo around here."
text,007 pièce 1:EV0008:3:2,"It's been some time now since 
I've seen Pablo... I hope he's 
doing well."
text,007 pièce 1:EV0008:4:1,...
text,007 pièce 1:EV0008:4:2,I guess it's better like that.
text,007 pièce 1:EV0008:4:8,...
text,007 pièce 1:EV0008:4:9,But... You have the five elements?
text,007 pièce 1:EV0008:4:11,"If you'd like, I'll exchange them for
an incredibly rare item!"
text,007 pièce 1:EV0008:4:12,"Okay!,I'd like to buy something."
text,007 pièce 1:EV0008:4:15,"He he he, excellent!"
text,007 pièce 1:EV0008:4:16,"I'll let you choose: I have the Ashley Bat, 
this game's ultimate offensive item,
or, well..."
text,007 pièce 1:EV0008:4:17,"The Aries Card, which is—
although I have no idea what it's good for—
completely unique as well!"
text,007 pièce 1:EV0008:4:18,"So, which do you choose?"
text,007 pièce 1:EV0008:4:19,"Ashley Bat,Aries Card,Never mind"
text,007 pièce 1:EV0008:4:22,So you want the Ashley Bat—for sure?
text,007 pièce 1:EV0008:4:23,"Yes,No"
text,007 pièce 1:EV0008:4:32,"Ahaha, brilliant!"
text,007 pièce 1:EV0008:4:33,"Here's your new treasure.
Use it wisely."
text,007 pièce 1:EV0008:4:35,The Ashley Bat has been found.
text,007 pièce 1:EV0008:4:40,"So, you choose the Aries Card?"
text,007 pièce 1:EV0008:4:41,"Yes,No"
text,007 pièce 1:EV0008:4:50,"Ahaha, splendid!"
text,007 pièce 1:EV0008:4:51,"Here's your new treasure. 
Use it wisely."
text,007 pièce 1:EV0008:4:53,The Aries Card has been found.
text,007 pièce 1:EV0008:4:60,"All right, as you wish."
text,007 pièce 1:EV0008:4:64,...
text,007 pièce 1:EV0008:4:68,...
text,007 pièce 1:EV0008:4:72,...
text,007 pièce 1:EV0008:4:76,...
text,007 pièce 1:EV0008:4:80,...
text,007 pièce 1:EV0008:5:2,It's a pleasure doing business with you.
text,007 pièce 1:EV0008:6:2,It's a pleasure doing business with you.
text,007 pièce 1:EV0010:1:1,"It's impossible to get around 
this obstacle."
item name,7:Belial's meat:item,Belial's Meat
item description,7:Belial's meat:item,Cures all negative status effects
text,"0070 Abstract Spectrex3,-:1:1",
text,0071 Spectre Infernalx2:1:1,
text,0072 Obese Spectre:1:1,
text,"0073 Ballman,Ballman:1:1",
text,"0074 Ballmanx4,Ballmanx4:1:1",
text,008 zone 0 (sortie):EV0001:2:1,"Health points and competence 
points completely restored."
text,008 zone 0 (sortie):EV0001:2:2,"Save game,Return to the nothingness,Cancel"
text,008 zone 0 (sortie):EV0001:2:6,Back to the nothingness?
text,008 zone 0 (sortie):EV0001:2:7,"Yes,No"
text,008 zone 0 (sortie):EV0007:1:7,"Now feast your eyes upon an accessory 
that will prove especially useful on your
purifying quest, my enlightened student 
and sportive friend."
text,008 zone 0 (sortie):EV0007:1:8,"It is a cube floating in the air, 
as you have no doubt noticed. 
Nevertheless, you will be able 
to distinguish it from its fellows"
text,008 zone 0 (sortie):EV0007:1:9,"by the tasteless contrast forced 
upon your gaze by its clashing 
colors, which defy any sensible theory
of the visual arts."
text,008 zone 0 (sortie):EV0007:1:10,"Do not judge it too quickly, however, for
in spite of its questionable appearance, 
this red cube possesses 
an undeniable utility. "
